h2co+_b1_tz.0003.com.dat:      * CCSD(T) total energy                     = -113.924734580097635
h2co+_b1_tz.0004.com.dat:      * CCSD(T) total energy                     = -113.924667149538280
h2co+_b1_tz.0005.com.dat:      * CCSD(T) total energy                     = -113.924592980697469
h2co+_b1_tz.0006.com.dat:      * CCSD(T) total energy                     = -113.924691651545075
h2co+_b1_tz.0007.com.dat:      * CCSD(T) total energy                     = -113.923390277060903
h2co+_b1_tz.0008.com.dat:      * CCSD(T) total energy                     = -113.923543596376192
h2co+_b1_tz.0009.com.dat:      * CCSD(T) total energy                     = -113.923472511035143
h2co+_b1_tz.0010.com.dat:      * CCSD(T) total energy                     = -113.923394656172874
h2co+_b1_tz.0011.com.dat:      * CCSD(T) total energy                     = -113.923658494821467
h2co+_b1_tz.0012.com.dat:      * CCSD(T) total energy                     = -113.923594769835788
h2co+_b1_tz.0013.com.dat:      * CCSD(T) total energy                     = -113.923464301366593
h2co+_b1_tz.0014.com.dat:      * CCSD(T) total energy                     = -113.923507517617011
h2co+_b1_tz.0015.com.dat:      * CCSD(T) total energy                     = -113.923508818928411
h2co+_b1_tz.0017.com.dat:      * CCSD(T) total energy                     = -113.923520910966090
h2co+_b1_tz.0018.com.dat:      * CCSD(T) total energy                     = -113.923524315552228
h2co+_b1_tz.0019.com.dat:      * CCSD(T) total energy                     = -113.923520910966644
h2co+_b1_tz.0020.com.dat:      * CCSD(T) total energy                     = -113.923519734886057
h2co+_b1_tz.0021.com.dat:      * CCSD(T) total energy                     = -113.923508818924859
h2co+_b1_tz.0022.com.dat:      * CCSD(T) total energy                     = -113.923507517617210
h2co+_b1_tz.0023.com.dat:      * CCSD(T) total energy                     = -113.923464301363822
h2co+_b1_tz.0024.com.dat:      * CCSD(T) total energy                     = -113.923447120225291
h2co+_b1_tz.0025.com.dat:      * CCSD(T) total energy                     = -113.923363172106193
h2co+_b1_tz.0026.com.dat:      * CCSD(T) total energy                     = -113.923616139811301
h2co+_b1_tz.0027.com.dat:      * CCSD(T) total energy                     = -113.923546313883961
h2co+_b1_tz.0028.com.dat:      * CCSD(T) total energy                     = -113.923469775429069
h2co+_b1_tz.0029.com.dat:      * CCSD(T) total energy                     = -113.923539118353716
h2co+_b1_tz.0030.com.dat:      * CCSD(T) total energy                     = -113.922118618428314
h2co+_b1_tz.0031.com.dat:      * CCSD(T) total energy                     = -113.922304238528497
h2co+_b1_tz.0032.com.dat:      * CCSD(T) total energy                     = -113.922229529203477
h2co+_b1_tz.0033.com.dat:      * CCSD(T) total energy                     = -113.922148019791607
h2co+_b1_tz.0034.com.dat:      * CCSD(T) total energy                     = -113.922450747625547
h2co+_b1_tz.0035.com.dat:      * CCSD(T) total energy                     = -113.922383433559901
h2co+_b1_tz.0036.com.dat:      * CCSD(T) total energy                     = -113.922248051456322
h2co+_b1_tz.0037.com.dat:      * CCSD(T) total energy                     = -113.922292256518105
h2co+_b1_tz.0038.com.dat:      * CCSD(T) total energy                     = -113.922293512759097
h2co+_b1_tz.0039.com.dat:      * CCSD(T) total energy                     = -113.922304761549654
h2co+_b1_tz.0040.com.dat:      * CCSD(T) total energy                     = -113.922305935563202
h2co+_b1_tz.0041.com.dat:      * CCSD(T) total energy                     = -113.922309359835083
h2co+_b1_tz.0042.com.dat:      * CCSD(T) total energy                     = -113.922305935563244
h2co+_b1_tz.0043.com.dat:      * CCSD(T) total energy                     = -113.922304761549995
h2co+_b1_tz.0044.com.dat:      * CCSD(T) total energy                     = -113.922293512762991
h2co+_b1_tz.0045.com.dat:      * CCSD(T) total energy                     = -113.922292256518162
h2co+_b1_tz.0046.com.dat:      * CCSD(T) total energy                     = -113.922248051458695
h2co+_b1_tz.0047.com.dat:      * CCSD(T) total energy                     = -113.922228514373515
h2co+_b1_tz.0048.com.dat:      * CCSD(T) total energy                     = -113.922140885005177
h2co+_b1_tz.0049.com.dat:      * CCSD(T) total energy                     = -113.922558885284815
h2co+_b1_tz.0050.com.dat:      * CCSD(T) total energy                     = -113.922498895280853
h2co+_b1_tz.0051.com.dat:      * CCSD(T) total energy                     = -113.922372102970996
h2co+_b1_tz.0052.com.dat:      * CCSD(T) total energy                     = -113.922415380612890
h2co+_b1_tz.0053.com.dat:      * CCSD(T) total energy                     = -113.922416652607779
h2co+_b1_tz.0054.com.dat:      * CCSD(T) total energy                     = -113.922427586071194
h2co+_b1_tz.0055.com.dat:      * CCSD(T) total energy                     = -113.922428838458160
h2co+_b1_tz.0056.com.dat:      * CCSD(T) total energy                     = -113.922432185816319
h2co+_b1_tz.0057.com.dat:      * CCSD(T) total energy                     = -113.922428838457719
h2co+_b1_tz.0058.com.dat:      * CCSD(T) total energy                     = -113.922427586071450
h2co+_b1_tz.0059.com.dat:      * CCSD(T) total energy                     = -113.922416652607936
h2co+_b1_tz.0060.com.dat:      * CCSD(T) total energy                     = -113.922415380615320
h2co+_b1_tz.0061.com.dat:      * CCSD(T) total energy                     = -113.922372102970954
h2co+_b1_tz.0062.com.dat:      * CCSD(T) total energy                     = -113.922298686121991
h2co+_b1_tz.0063.com.dat:      * CCSD(T) total energy                     = -113.922341956099089
h2co+_b1_tz.0064.com.dat:      * CCSD(T) total energy                     = -113.922343217634349
